N1,N2,D,C_real1,C_real2
0.0,0.0,0.0,402.63490849129255,413.75774674655634
0.0,0.0,0.0,403.66081616834407,412.6789937611903
0.0,0.0,0.0,405.2251514285935,413.00189284499737
0.0,0.0,0.0,405.8422659169916,412.8873140638282
0.0,0.0,0.0,406.6591674600436,410.8283461353378
1.0,0.0,0.0,411.63401191127156,410.037665967325
1.0,0.0,0.0,416.7421604436331,409.8399456675079
1.0,0.0,0.0,422.1075990180795,408.8547219379479
1.0,0.0,0.0,428.61512366711855,411.0377729590062
1.0,0.0,0.0,432.97759581667833,410.8572507561542
1.0,0.0,0.0,437.77046740944945,411.95849986553463
1.0,0.0,0.0,444.1007855421438,410.57334538871066
1.0,0.0,0.0,447.82413166715696,409.35262261189234
1.0,0.0,0.0,450.9939500702017,407.57307549690603
1.0,0.0,0.0,455.59180088449125,406.3004863203058
1.0,0.0,0.0,461.2611365326148,407.11434703315626
1.0,0.0,0.0,464.3124558125228,405.9774773567419
1.0,0.0,0.0,467.73532622267237,407.28783902739104
1.0,0.0,0.0,470.8696285221321,405.68503222167834
1.0,0.0,0.0,474.75709502444846,405.9732118669508
1.0,0.0,0.0,477.97841233011576,407.5031132794704
1.0,0.0,0.0,482.0491224502796,407.8436748423523
1.0,0.0,0.0,484.9627786870945,407.68636408656954
1.0,0.0,0.0,488.5317409161454,405.2989017870647
1.0,0.0,0.0,492.49133879827497,403.42469445777556
1.0,0.0,0.0,496.07509400404433,401.89947028073504
1.0,0.0,0.0,501.6535240604553,402.1973346750964
1.0,0.0,0.0,505.9899793572429,403.0834822422046
1.0,0.0,0.0,508.07553806309227,400.7555406001081
1.0,2.0,0.0,511.12471951930405,411.6414645582903
1.0,2.0,0.0,514.5487837548369,422.252374320248
1.0,2.0,0.0,518.7670922751151,430.4262839008331
1.0,2.0,0.0,522.2731812738984,441.9364526110443
1.0,2.0,0.0,524.8684709229584,449.2784140328692
1.0,2.0,0.0,527.7634637158595,458.07464469128416
1.0,2.0,0.0,531.2653230939213,466.3111883750705
1.0,2.0,0.0,534.3869950664065,473.09916789254254
1.0,2.0,0.0,538.2250922242396,483.58960820504785
1.0,2.0,0.0,542.4495388192504,490.8206030590284
1.0,2.0,0.0,545.6319402839015,496.4743754371967
1.0,2.0,0.0,548.7305979438586,504.9629487913144
1.0,2.0,0.0,550.503800962594,513.7323428455921
1.0,2.0,0.0,553.3842218317051,522.9658973285618
1.0,2.0,0.0,556.2107366101445,531.3564662998223
1.0,2.0,0.0,556.9224784445483,538.2264212086052
1.0,2.0,0.0,559.0927231849133,546.4498881173035
1.0,2.0,0.0,561.7000209153472,555.75404279528
1.0,2.0,0.0,563.4043554656012,563.1781060258635
