N1,N2,D,C_real1,C_real2
0.0,0.0,0.0,405.31602492076706,411.0766303170817
0.0,0.0,0.0,406.34778957170874,409.99202035782554
0.0,0.0,0.0,407.90096505901903,410.32607921457173
0.0,0.0,0.0,408.49733547946374,410.232244501356
0.0,0.0,0.0,409.2882832062057,408.1992303891757
1.0,0.0,0.0,414.2149743295263,407.4567035490702
1.0,0.0,0.0,419.2303438557163,407.35176225542466
1.0,0.0,0.0,424.4634379283939,406.4988830276335
1.0,0.0,0.0,430.7919218074492,408.8609748186755
1.0,0.0,0.0,434.94631198634454,408.88853458648794
1.0,0.0,0.0,439.50121273771686,410.2277545372671
1.0,0.0,0.0,445.57140783685117,409.1027230940032
1.0,0.0,0.0,448.9809786769411,408.1957756021081
1.0,0.0,0.0,451.8072012217495,406.75982434535814
1.0,0.0,0.0,456.0325176746293,405.8597695301677
1.0,0.0,0.0,461.2939098770596,407.08157368871133
1.0,0.0,0.0,463.91109301408363,406.3788401551809
1.0,0.0,0.0,466.87978417831704,408.14338107174626
1.0,0.0,0.0,469.5570888310767,406.9975719127336
1.0,0.0,0.0,472.9638324780085,407.76647441339065
1.0,0.0,0.0,475.6905386412386,409.79098696834745
1.0,0.0,0.0,479.2684409286515,410.62435636398027
1.0,0.0,0.0,481.6747289172211,410.9744138564428
1.0,0.0,0.0,484.7274866487485,409.1031560544616
1.0,0.0,0.0,488.1392369329738,407.7767963230766
1.0,0.0,0.0,491.14546320848785,406.8291010762914
1.0,0.0,0.0,496.1234010053983,407.7274577301533
1.0,0.0,0.0,499.83574005799915,409.2377215414482
1.0,0.0,0.0,501.2889311117019,407.5421475514983
1.0,2.0,0.0,503.6900447237004,419.07613935389384
1.0,2.0,0.0,506.5488173214638,430.25234075362096
1.0,2.0,0.0,510.2768458221093,438.91653035383877
1.0,2.0,0.0,513.3394943347499,450.8701395501927
1.0,2.0,0.0,515.5691147863492,458.5777701694782
1.0,2.0,0.0,518.1477427544214,467.6903656527221
1.0,2.0,0.0,521.3902486189102,476.18626285008145
1.0,2.0,0.0,524.2984797765046,483.1876831824442
1.0,2.0,0.0,527.9590795787609,493.8556208505263
1.0,2.0,0.0,532.064743329112,501.2053985491665
1.0,2.0,0.0,535.1560935968114,506.9502221242866
1.0,2.0,0.0,538.1862911428595,515.5072555923133
1.0,2.0,0.0,539.9362702468547,524.2998735613313
1.0,2.0,0.0,542.8501496746758,533.4999694855909
1.0,2.0,0.0,545.7599045122826,541.8072983976841
1.0,2.0,0.0,546.5968128335078,548.5520868196455
1.0,2.0,0.0,548.9376034459848,556.605007856232
1.0,2.0,0.0,551.7585798506196,565.6954838600076
1.0,2.0,0.0,553.7235371948977,572.8589242965669
1.0,2.0,0.0,556.8258479285704,579.8814599256783
1.0,2.0,0.0,560.1534855007956,586.4282303068114
1.0,2.0,0.0,564.3817234818911,593.1020187528283
1.0,2.0,0.0,568.2617051764121,599.9454227421672
1.0,2.0,0.0,572.4827716856198,605.294655649671
1.0,2.0,0.0,575.6748227361512,611.5201643670637
1.0,2.0,0.0,578.5578638891777,619.2534043340653
1.0,2.0,0.0,580.0659634555877,624.3170092107682
1.0,2.0,0.0,581.7206154911755,630.8526332808674
1.0,2.0,0.0,582.5010254757647,637.0933813737133
1.0,2.0,0.0,583.9140196131845,641.9565199795869
1.0,2.0,0.0,586.2504715767345,648.2434297615422
1.0,2.0,0.0,588.326243665076,653.5317907564981
1.0,2.0,0.0,590.9811501586505,658.9344339822832
