Temperature,Pressure,Humidity,CO2 (ppm),DUST TSP,DUST PM2.5,DUST PM10,door,window,occupancy
23.04,746.5835,16.82,457,9,8,9,1,0,0
23.04,746.576,16.81,457,10,9,10,1,0,0
23.04,746.591,16.78,456,9,9,9,1,0,0
23.05,746.6135,16.84,456,9,8,9,1,0,0
23.05,746.6285,16.81,454,9,9,9,1,0,0
23.04,746.6435,16.8,456,9,8,9,1,0,0
23.05,746.651,16.85,455,10,9,10,1,0,0
23.05,746.6435,16.82,455,9,9,9,1,0,0
23.05,746.6585,16.84,453,9,9,9,1,0,0
23.05,746.6435,16.8,455,9,9,9,1,0,0
23.05,746.636,16.8,454,9,8,9,1,0,0
23.06,746.6585,16.81,453,9,8,9,1,0,0
23.06,746.7035,16.82,455,9,9,9,1,0,0
23.06,746.726,16.82,455,9,8,9,1,0,0
23.06,746.74854,16.82,455,9,8,9,1,0,0
23.06,746.771,16.81,454,9,8,9,1,0,0
23.06,746.75604,16.81,453,9,9,9,1,0,0
23.06,746.771,16.79,454,11,10,11,1,0,0
23.07,746.7635,16.83,455,10,9,10,1,0,0
23.07,746.7635,16.8,454,10,9,10,1,0,0
23.07,746.771,16.79,454,8,8,8,1,0,0
23.08,746.7635,16.83,455,10,10,10,1,0,0
23.07,746.7785,16.8,454,9,8,9,1,0,0
23.08,746.7785,16.81,451,9,9,9,1,0,0
23.08,746.7785,16.84,453,8,8,8,1,0,0
23.08,746.7635,16.81,452,10,9,10,1,0,0
23.08,746.7785,16.8,453,9,8,9,1,0,0
23.08,746.7785,16.81,454,8,8,8,1,0,0
23.09,746.7935,16.81,454,8,8,8,1,0,0
23.09,746.8085,16.83,453,9,9,9,1,0,0
23.09,746.831,16.8,452,9,8,9,1,0,0
23.09,746.8385,16.81,451,8,7,8,1,0,0
23.1,746.831,16.84,452,10,9,10,1,0,0
23.1,746.8235,16.8,452,9,9,9,1,0,0
23.1,746.831,16.82,452,9,9,9,1,0,0
23.1,746.816,16.82,452,9,9,9,1,0,0
23.1,746.801,16.82,451,8,8,8,1,0,0
23.1,746.786,16.81,451,9,8,9,1,0,0
23.11,746.801,16.8,451,8,8,8,1,0,0
23.11,746.771,16.82,451,9,9,9,1,0,0
23.11,746.771,16.84,450,9,8,9,1,0,0
23.11,746.7935,16.82,450,9,8,9,1,0,0
23.11,746.801,16.79,449,10,9,10,1,0,0
23.11,746.801,16.84,452,10,9,10,1,0,0
23.11,746.816,16.81,452,10,9,10,1,0,0
23.11,746.816,16.81,452,8,7,8,1,0,0
23.11,746.7785,16.82,451,9,9,9,1,0,0
23.12,746.741,16.85,450,8,8,8,1,0,0
23.12,746.7185,16.81,450,9,8,9,1,0,0
23.12,746.726,16.82,451,9,8,9,1,0,0
23.12,746.74854,16.81,450,9,8,9,1,0,0
23.12,746.7785,16.84,451,9,9,9,1,0,0
23.12,746.7785,16.84,450,8,7,8,1,0,0
23.12,746.7785,16.83,450,8,8,8,1,0,0
23.13,746.7935,16.84,449,9,8,9,1,0,0
23.13,746.786,16.84,449,9,9,9,1,0,0
23.13,746.7635,16.82,448,9,8,9,1,0,0
23.14,746.786,16.82,448,9,8,9,1,0,0
23.14,746.8085,16.82,448,9,9,9,1,0,0
23.14,746.8085,16.79,447,9,8,9,1,0,0
23.14,746.7935,16.78,448,8,7,8,1,0,0
23.14,746.816,16.82,448,8,8,8,1,0,0
23.15,746.8085,16.82,447,10,9,10,1,0,0
23.15,746.7785,16.82,448,9,8,9,1,0,0
23.15,746.75604,16.82,447,9,8,9,1,0,0
23.15,746.7635,16.82,447,8,8,8,1,0,0
23.15,746.74854,16.84,448,9,8,9,1,0,0
23.15,746.7185,16.8,447,10,9,10,1,0,0
23.15,746.726,16.79,447,8,8,8,1,0,0
23.15,746.7335,16.83,447,8,8,8,1,0,0
23.16,746.726,16.81,447,8,8,8,1,0,0
23.16,746.7185,16.8,446,9,8,9,1,0,0
23.16,746.711,16.81,447,8,7,8,1,0,0
23.16,746.711,16.81,446,8,8,8,1,0,0
23.17,746.741,16.82,448,8,8,8,1,0,0
23.17,746.7335,16.82,448,10,9,10,1,0,0
23.17,746.711,16.83,447,8,7,8,1,0,0
23.17,746.726,16.8,449,9,8,9,1,0,0
23.18,746.741,16.81,448,8,8,8,1,0,0
23.18,746.7335,16.81,449,8,7,8,1,0,0
23.18,746.75604,16.83,447,7,7,7,1,0,0
23.18,746.7785,16.78,444,8,8,8,1,0,0
23.18,746.786,16.82,446,10,9,10,1,0,0
23.19,746.816,16.83,447,8,8,8,1,0,0
23.19,746.786,16.86,446,8,7,8,1,0,0
23.19,746.786,16.82,445,8,7,8,1,0,0
23.19,746.7935,16.8,445,10,9,10,1,0,0
23.19,746.7785,16.84,446,9,8,9,1,0,0
23.18,746.786,16.8,446,10,8,10,1,0,0
23.19,746.7785,16.82,445,8,7,8,1,0,0
23.19,746.7935,16.86,446,9,8,9,1,0,0
23.19,746.8085,16.83,446,8,7,8,1,0,0
23.19,746.8085,16.85,445,8,8,8,1,0,0
23.19,746.8085,16.88,445,9,8,9,1,0,0
23.19,746.8385,16.79,446,8,8,8,1,0,0
23.19,746.8835,16.82,443,8,7,8,1,0,0
23.19,746.8835,16.85,445,8,8,8,1,0,0
23.19,746.8835,16.85,444,9,8,9,1,0,0
23.19,746.86847,16.85,445,9,9,9,1,0,0
23.19,746.86096,16.88,446,8,8,8,1,0,0
23.2,746.85345,16.87,446,9,8,9,1,0,0
23.2,746.876,16.85,445,9,8,9,1,0,0
23.21,746.876,16.86,446,9,8,9,1,0,0
23.21,746.846,16.87,443,7,7,7,1,0,0
23.21,746.8385,16.86,444,9,8,9,1,0,0
23.22,746.831,16.86,443,8,8,8,1,0,0
23.22,746.86847,16.9,443,7,7,7,1,0,0
23.23,746.89856,16.85,443,8,8,8,1,0,0
23.24,746.89105,16.84,443,8,7,8,1,0,0
23.24,746.86847,16.83,443,8,7,8,1,0,0
23.24,746.89856,16.84,443,8,7,8,1,0,0
23.25,746.89856,16.84,443,8,7,8,1,0,0
23.25,746.8835,16.81,442,8,8,8,1,0,0
23.26,746.8835,16.84,442,9,8,9,1,0,0
23.26,746.8835,16.86,443,7,7,7,1,0,0
23.27,746.85345,16.84,442,10,9,10,1,0,0
23.27,746.85345,16.81,441,8,8,8,1,0,0
23.28,746.85345,16.85,441,8,8,8,1,0,0
23.28,746.86847,16.84,441,7,7,7,1,0,0
23.29,746.8835,16.83,441,8,8,8,1,0,0
23.29,746.86096,16.85,441,7,7,7,1,0,0
23.29,746.86096,16.84,442,8,7,8,1,0,0
23.3,746.8385,16.87,440,7,7,7,1,0,0
23.3,746.85345,16.86,442,9,8,9,1,0,0
23.31,746.846,16.83,440,8,7,8,1,0,0
23.31,746.86847,16.86,441,8,7,8,1,0,0
23.31,746.8835,16.84,440,8,8,8,1,0,0
23.32,746.876,16.83,441,7,7,7,1,0,0
23.32,746.86847,16.82,440,9,7,9,1,0,0
23.32,746.86096,16.88,441,8,8,8,1,0,0
23.32,746.89105,16.82,440,8,7,8,1,0,0
23.32,746.9135,16.83,441,8,7,8,1,0,0
23.32,746.93604,16.81,441,7,7,7,1,0,0
23.32,746.94354,16.88,439,7,7,7,1,0,0
23.33,746.921,16.84,438,7,7,7,1,0,0
23.33,746.921,16.85,439,8,7,8,1,0,0
23.34,746.9135,16.84,439,8,7,8,1,0,0
23.34,746.89856,16.85,439,8,7,8,1,0,0
23.35,746.89105,16.86,439,6,6,6,1,0,0
23.36,746.876,16.85,439,7,7,7,1,0,0
23.37,746.86096,16.85,437,8,8,8,1,0,0
23.38,746.85345,16.83,438,7,7,7,1,0,0
23.38,746.86847,16.83,439,8,7,8,1,0,0
23.38,746.876,16.85,439,7,6,7,1,0,0
23.39,746.876,16.84,438,7,7,7,1,0,0
23.39,746.876,16.83,438,7,7,7,1,0,0
23.39,746.876,16.81,438,7,7,7,1,0,0
23.4,746.89856,16.82,439,6,6,6,1,0,0
23.4,746.876,16.85,438,7,7,7,1,0,0
23.4,746.8835,16.82,438,7,7,7,1,0,0
23.41,746.86847,16.79,437,6,6,6,1,0,0
23.41,746.85345,16.84,436,7,6,7,1,0,0
23.42,746.8235,16.82,439,7,7,7,1,0,0
23.42,746.8385,16.81,438,8,7,8,1,0,0
23.43,746.831,16.8,439,7,7,7,1,0,0
23.43,746.8385,16.84,440,7,6,7,1,0,0
23.44,746.831,16.79,438,7,7,7,1,0,0
23.44,746.816,16.8,438,8,7,8,1,0,0
23.45,746.8085,16.75,437,7,7,7,1,0,0
23.45,746.8235,16.8,436,7,7,7,1,0,0
23.45,746.801,16.81,438,6,6,6,1,0,0
23.45,746.816,16.82,439,6,6,6,1,0,0
23.45,746.801,16.79,436,6,6,6,1,0,0
23.46,746.8235,16.8,437,6,6,6,1,0,0
23.46,746.801,16.82,437,7,7,7,1,0,0
23.46,746.801,16.81,437,7,6,7,1,0,0
23.45,746.816,16.83,438,7,6,7,1,0,0
23.45,746.801,16.84,438,6,6,6,1,0,0
23.45,746.801,16.8,438,7,7,7,1,0,0
23.46,746.8085,16.83,438,7,6,7,1,0,0
23.46,746.801,16.82,437,6,6,6,1,0,0
23.46,746.801,16.82,437,7,6,7,1,0,0
23.46,746.816,16.82,438,6,6,6,1,0,0
23.46,746.801,16.8,439,7,6,7,1,0,0
23.46,746.8085,16.83,438,7,7,7,1,0,0
23.47,746.7935,16.79,437,7,6,7,1,0,0
23.47,746.7785,16.84,438,7,6,7,1,0,0
23.47,746.771,16.81,437,7,6,7,1,0,0
23.47,746.771,16.84,436,6,6,6,1,0,0
23.47,746.75604,16.82,437,7,6,7,1,0,0
23.48,746.74854,16.83,438,7,6,7,1,0,0
23.48,746.75604,16.85,438,7,6,7,1,0,0
23.48,746.74854,16.83,436,7,7,7,1,0,0
23.48,746.74854,16.81,435,6,6,6,1,0,0
23.48,746.74854,16.83,436,6,6,6,1,0,0
23.48,746.7635,16.83,435,6,6,6,1,0,0
23.48,746.771,16.86,436,6,5,6,1,0,0
23.48,746.771,16.81,435,6,6,6,1,0,0
23.48,746.75604,16.85,436,6,6,6,1,0,0
23.48,746.74854,16.82,435,7,6,7,1,0,0
23.48,746.74854,16.81,435,6,6,6,1,0,0
23.49,746.74854,16.85,436,7,6,7,1,0,0
23.49,746.726,16.83,436,6,6,6,1,0,0
23.5,746.7035,16.83,436,6,6,6,1,0,0
23.5,746.711,16.86,434,6,6,6,1,0,0
23.51,746.7185,16.83,434,6,6,6,1,0,0
23.51,746.711,16.84,435,6,6,6,1,0,0
23.51,746.7335,16.83,435,7,6,7,1,0,0
23.52,746.74854,16.85,435,6,5,6,1,0,0
23.52,746.7935,16.85,434,6,6,6,1,0,0
23.52,746.831,16.8,435,6,6,6,1,0,0
23.52,746.8385,16.87,436,7,6,7,1,0,0
23.52,746.8385,16.84,435,5,5,5,1,0,0
23.52,746.816,16.84,434,8,6,8,1,0,0
23.52,746.8085,16.84,434,6,6,6,1,0,0
23.52,746.801,16.85,434,6,6,6,1,0,0
23.52,746.786,16.87,436,5,5,5,1,0,0
23.53,746.7785,16.86,436,7,6,7,1,0,0
23.53,746.786,16.84,434,6,6,6,1,0,0
23.53,746.786,16.86,434,5,5,5,1,0,0
23.53,746.786,16.86,435,5,5,5,1,0,0
23.54,746.7935,16.88,436,6,6,6,1,0,0
23.54,746.7935,16.88,436,6,5,6,1,0,0
23.54,746.8085,16.95,435,6,5,6,1,0,0
23.55,746.816,16.9,436,5,5,5,1,0,0
23.55,746.816,16.91,436,6,5,6,1,0,0
23.55,746.831,16.92,437,5,5,5,1,0,0
23.56,746.8085,16.94,437,6,5,6,1,0,0
23.56,746.801,16.94,437,5,5,5,1,0,0
23.56,746.786,16.95,437,5,5,5,1,0,0
23.57,746.7785,16.9,436,6,6,6,1,0,0
23.58,746.7935,16.96,437,4,4,4,1,0,0
23.58,746.8085,16.96,439,6,5,6,1,0,0
23.59,746.816,16.97,440,5,4,5,1,0,0
23.59,746.846,17,440,6,5,6,1,0,0
23.6,746.86847,17.01,440,6,5,6,1,0,0
23.59,746.89856,17.01,438,5,5,5,1,0,0
23.59,746.9135,16.99,439,5,5,5,1,0,0
23.6,746.94354,17,441,6,5,6,1,0,0
23.6,746.951,17.02,441,6,5,6,1,0,0
23.59,746.93604,17.04,441,5,5,5,1,0,0
23.6,746.9285,17.04,442,6,5,6,1,0,0
23.59,746.9285,17.09,441,5,5,5,1,0,0
23.59,746.9135,17.05,440,5,5,5,1,0,0
23.59,746.9135,17.09,441,4,4,4,1,0,0
23.6,746.9135,17.11,442,6,5,6,1,0,0
23.6,746.9135,17.13,443,5,5,5,1,0,0
23.6,746.9135,17.12,444,5,5,5,1,0,0
23.6,746.89856,17.09,445,5,5,5,1,0,0
23.6,746.8835,17.17,446,5,5,5,1,0,0
23.61,746.8835,17.15,443,5,4,5,1,0,0
23.61,746.86096,17.14,444,5,4,5,1,0,0
23.62,746.8835,17.13,444,5,4,5,1,0,0
23.62,746.8835,17.17,446,5,4,5,1,0,0
