Temperature,Pressure,Humidity,PM2.5,PM10,CO2,Door,occupancy
27,729,28,4,4,510,1,0
27.1,729,28,4,4,514.33,1,0
27,729,28,3,4,514,1,0
27,729,28,4,4,510.33,1,0
27.1,729,28,2,4,502.5,1,0
27,729,29,3,3,497.33,1,0
27,729,29,3,3,497.5,1,0
27,729,29,3,3,501.67,1,0
27,729,29,3,4,505.5,1,0
27,729,29,3,4,508,1,0
27,729,29,4,4,509.5,1,0
27,729,29,3,3,506.33,1,0
27,730,29,3,3,517.5,1,0
27,730,29,3,3,529.67,1,0
27,730,29,2,4,533.5,1,0
27,730,30,3,3,527.67,1,0
27,730,30,2,2,522,1,0
27,730,30,3,4,517.33,1,0
27,730,29,3,4,515.5,1,0
27,730,29,3,4,512,1,0
26.9,730,29,3,4,510.5,1,1
27,730,29,3,5,520,1,4
27,730,28,4,5,559,0,7
27.1,730,29,3,4,667.67,0,7
27.2,730,29,4,4,711.5,0,7
27.3,731,29,3,3,721.33,0,7
27.3,731,29,2,3,733,0,7
27.4,731,29,3,3,734.33,0,7
27.5,731,29,2,3,733,0,7
27.5,731,29,2,2,732.33,0,7
27.6,731,29,2,2,730.5,0,7
27.6,731,29,3,3,727.67,0,7
27.7,731,29,2,2,730.5,0,7
27.8,731,30,1,2,738,1,2
27.8,731,29,2,2,686,1,3
27.8,732,29,2,2,624,1,4
27.8,732,28,3,4,601,1,4
27.7,732,28,2,2,573,1,5
27.7,732,28,2,2,566.5,1,5
27.7,732,28,2,2,588,1,5
27.5,732,28,1,2,620.5,1,5
27.4,732,28,2,2,676.33,1,5
27.2,732,28,2,3,703,1,5
27,732,28,1,1,730,1,5
26.8,732,28,1,2,717,1,5
26.6,732,27,1,2,688.33,1,5
26.3,732,28,1,2,686,1,5
26.1,732,28,2,2,677.33,1,5
25.9,732,27,1,2,634.5,1,5
25.8,732,28,2,2,632.67,1,5
25.7,732,27,2,2,619.5,1,5
25.6,733,27,2,2,598,1,5
25.4,733,27,2,2,582.5,1,5
25.2,733,27,2,3,612.67,1,5
25.1,733,27,2,3,627,1,5
25.1,733,27,3,3,653.33,1,5
25,733,27,3,3,666.5,1,5
25,733,27,2,3,685,1,5
25.1,733,28,2,3,675.5,1,5
25.3,733,28,2,2,703.67,1,5
25.2,733,29,2,3,742,1,5
25.2,733,28,2,3,744,1,5
25.3,733,28,2,2,736,1,5
25.2,733,28,2,2,705.67,1,5
25.2,733,28,2,2,707,1,5
25.1,733,28,2,2,707,1,5
25.1,733,28,2,3,693,1,5
25.1,733,28,2,2,700.33,1,5
25,734,27,2,3,602.33,1,5
25,734,27,3,4,637,1,5
24.9,734,27,3,3,649,1,5
24.9,734,27,4,6,661.5,1,5
24.9,734,27,4,4,655.33,1,5
24.9,734,27,4,4,660.5,1,5
24.8,734,27,4,5,668.33,1,5
24.8,734,27,4,4,661,1,5
24.9,734,27,4,5,665.67,1,5
24.8,734,27,4,4,666.5,1,5
24.8,734,27,3,4,688.33,1,5
24.8,734,27,4,4,710.5,1,5
24.9,734,27,4,4,719,1,5
24.9,734,27,3,3,707.5,1,5
24.9,734,27,2,3,713.33,1,5
24.8,734,27,2,2,700.5,1,5
24.8,734,27,3,4,683,1,5
24.8,734,27,3,4,667,1,5
24.7,734,27,2,3,660.33,1,5
24.8,735,27,3,4,678,1,5
24.9,735,26,3,4,685.33,1,5
24.8,735,26,3,4,669.5,1,5
24.7,735,26,3,4,680,1,5
24.7,735,26,4,4,636.5,1,5
24.7,735,26,4,5,632.67,1,5
24.6,735,26,5,5,599.5,1,5
24.6,735,25,6,6,540.33,1,0
24.4,735,25,6,6,503,1,0
24.2,735,25,5,6,483.67,1,0
24,735,25,5,5,472.5,1,0
23.9,735,26,5,5,463.33,1,0
23.8,735,26,4,4,456.5,1,0
23.6,735,26,5,5,449.67,1,0
23.6,735,26,5,6,446,1,0
23.5,735,26,4,5,441.67,1,0
23.4,735,26,5,5,438,1,0
23.3,736,26,4,4,434.5,1,0
23.2,736,26,3,3,435.67,1,0
23.2,736,26,4,4,438,1,0
23.1,736,26,3,3,438.33,1,0
23,736,26,2,2,440,1,0
23,736,27,3,3,437.33,1,0
22.9,736,26,3,3,439,1,0
22.9,736,27,3,3,435.67,1,0
22.8,736,26,3,3,434.5,1,0
22.9,736,26,2,3,433.67,1,0
22.8,736,26,2,2,434,1,0
22.8,736,26,2,3,433.33,1,0
22.8,736,26,0,1,432.5,1,0
22.7,736,26,2,2,433.67,1,0
22.7,736,26,2,2,431,1,0
22.7,737,26,1,1,432,1,0
22.7,737,26,1,2,432,1,0
22.6,737,26,1,2,431.67,1,0
22.6,737,26,0,1,432,1,0
22.6,737,26,1,1,431,1,0
22.7,737,26,2,2,429,1,0
22.6,737,26,1,1,430.33,1,0
22.6,737,26,0,0,431,1,0
22.6,737,27,1,1,428.33,1,0
22.7,737,27,0,0,427,1,0
22.8,737,27,1,1,436.33,1,0
23,737,27,0,0,444,1,0
23.3,737,26,0,0,445,1,0
23.6,738,26,1,1,446.5,1,0
23.8,738,27,1,1,447.67,1,0
23.9,738,26,0,0,452,1,0
24,738,26,0,0,459.67,1,0
24.1,738,26,0,0,458.5,1,0
24.1,738,25,1,1,453.67,1,0
24.2,738,24,1,1,447,1,0
24.3,738,24,0,0,447,1,0
24.3,738,24,1,1,443,1,0
24.3,738,23,0,1,443,1,0
24.3,738,23,1,1,440.33,1,0
24.4,738,23,0,0,438.5,1,0
24.4,738,23,1,1,438.67,1,0
24.5,738,23,0,0,436,1,0
24.5,738,23,0,0,437.67,1,0
24.6,738,23,1,1,435.5,1,0
24.6,738,23,0,1,434,1,0
24.7,738,23,0,0,433.5,1,0
24.7,738,23,0,0,431.33,1,0
24.8,738,23,0,0,431.5,1,0
24.8,738,23,0,1,432.67,1,0
24.8,738,23,0,0,429.5,1,0
24.8,738,23,0,0,431.67,1,0
24.9,738,23,0,0,430.5,1,0
24.9,738,23,0,0,432,1,0
24.9,738,23,0,0,432,1,0
25,738,23,0,0,430,1,0
25,738,23,0,0,430,1,0
25,738,23,0,0,430.33,1,0
25.1,738,23,0,0,429,1,0
25.1,738,23,0,1,428.33,1,0
25.1,738,22,0,0,426.5,1,0
25.1,738,23,0,0,428.33,1,0
25.1,738,23,1,1,426,1,0
25.1,738,23,0,0,425.67,1,0
25.1,738,22,1,1,424.5,1,0
25.2,738,23,0,0,426,1,0
25.2,738,23,0,0,426,1,0
25.2,738,22,0,0,427,1,0
25.2,738,22,0,0,426.5,1,0
25.2,738,22,1,1,425.67,1,0
25.2,738,22,0,0,425,1,0
25,738,23,0,0,423,1,0
25.3,738,22,0,0,424.33,1,0
25.3,738,22,0,0,424.5,1,0
25.2,738,22,0,0,424.67,1,0
25.3,738,22,0,0,424,1,0
25.3,738,22,1,1,422.67,1,0
25.2,738,22,0,0,423.5,1,0
25.3,738,22,0,1,422.67,1,0
25.3,738,22,0,0,422.5,1,0
25.3,738,22,0,0,422.33,1,0
25.3,738,22,1,1,421.5,1,0
